0.0,0.0,0.0,0.002,0.006,0.022,0.032,0.056,0.08,0.076,0.086,0.124,0.164,0.204,0.216,0.26,0.234,0.296,0.262,0.312,0.312,0.302,0.414,0.394,0.416
0.0,0.0,0.0,0.0,0.012,0.012,0.038,0.044,0.058,0.092,0.082,0.118,0.144,0.158,0.182,0.22,0.236,0.224,0.274,0.294,0.312,0.354,0.372,0.356,0.388
0.0,0.0,0.0,0.0,0.006,0.012,0.028,0.026,0.058,0.062,0.078,0.116,0.112,0.132,0.166,0.202,0.256,0.226,0.266,0.286,0.266,0.332,0.35,0.382,0.342
0.0,0.0,0.0,0.0,0.004,0.008,0.016,0.026,0.044,0.074,0.062,0.102,0.144,0.162,0.144,0.186,0.184,0.208,0.224,0.278,0.272,0.3,0.294,0.324,0.38
0.0,0.0,0.0,0.0,0.0,0.01,0.008,0.034,0.044,0.042,0.06,0.108,0.128,0.122,0.134,0.156,0.16,0.172,0.182,0.228,0.26,0.286,0.338,0.348,0.318
0.0,0.0,0.0,0.0,0.002,0.006,0.012,0.03,0.024,0.044,0.078,0.08,0.086,0.118,0.122,0.132,0.142,0.192,0.218,0.228,0.222,0.248,0.278,0.286,0.296
0.0,0.0,0.0,0.0,0.002,0.004,0.008,0.014,0.016,0.056,0.046,0.06,0.09,0.1,0.128,0.138,0.164,0.148,0.172,0.184,0.246,0.204,0.28,0.288,0.292
0.0,0.0,0.0,0.0,0.0,0.002,0.008,0.008,0.018,0.044,0.03,0.07,0.088,0.1,0.102,0.154,0.162,0.162,0.196,0.21,0.27,0.216,0.276,0.278,0.272
0.0,0.0,0.0,0.0,0.0,0.004,0.002,0.01,0.022,0.028,0.05,0.084,0.088,0.084,0.108,0.124,0.122,0.128,0.16,0.178,0.22,0.226,0.196,0.242,0.238
0.0,0.0,0.0,0.0,0.0,0.0,0.004,0.014,0.026,0.022,0.06,0.038,0.064,0.08,0.084,0.096,0.124,0.176,0.152,0.184,0.17,0.198,0.226,0.218,0.312
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.006,0.014,0.03,0.046,0.04,0.06,0.066,0.076,0.102,0.108,0.174,0.154,0.158,0.19,0.196,0.216,0.188,0.246
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.004,0.006,0.014,0.022,0.03,0.038,0.07,0.068,0.068,0.104,0.118,0.124,0.156,0.172,0.174,0.162,0.2,0.206
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.002,0.002,0.018,0.028,0.03,0.066,0.052,0.082,0.09,0.098,0.114,0.116,0.154,0.162,0.162,0.174,0.228,0.224
